sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.5222;3.772;7.3532;6.1731;3.2676;6.8837;-0.7576;0.0309;0.1638;0.0128;-1.0499;0.24;15.1812;-10.57;-47.1;4.3;165.78;-19.46;-41.88;5.0;32.235;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;7;2018-08-07 23:01:09:968
7.1591;6.4439;-1.1008;6.4425;7.177;-1.7761;0.6725;-0.8237;0.7843;-0.2119;-1.7742;-0.1935;6.7472;16.21;-36.26;22.66;143.05;-46.85;-104.01;5.0;42.928;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;507;2018-08-07 23:01:10:468
4.5278;7.1454;-6.0927;4.1378;6.7514;-5.7851;0.6108;0.438;-0.2273;0.554;0.2274;0.1015;0.0;26.08;-38.0;7.72;142.39;-43.51;-144.43;5.0;36.17;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;1008;2018-08-07 23:01:10:969
1.978;5.3066;-6.6984;2.3152;6.2577;-7.1868;0.2139;0.1499;0.6938;0.261;0.2114;-0.4662;0.0;30.0;-34.29;5.22;133.21;-39.6;-161.5;0.0;45.344;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;1508;2018-08-07 23:01:11:469
2.7657;5.6658;-7.2778;2.4787;5.5978;-7.661;0.3213;0.0473;0.7105;-0.4559;0.253;0.1186;0.0;30.49;-32.07;11.65;127.83;-34.81;-162.07;0.0;68.526;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;2007;2018-08-07 23:01:11:968
5.8375;5.3904;-5.9035;4.6803;6.6141;-5.5243;0.2157;-0.3553;0.2168;-1.2282;-0.0709;0.6352;0.0;24.88;-38.21;12.63;139.58;-42.41;-139.73;0.0;61.188;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;2507;2018-08-07 23:01:12:468
5.1575;6.7288;-4.3856;4.7532;6.6473;-5.4213;0.4025;0.032;1.0877;0.1257;-0.0357;-0.0646;3.3736;23.15;-41.33;3.92;153.26;-42.7;-138.53;5.0;57.868;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;3007;2018-08-07 23:01:12:968
5.0498;7.04;-4.8669;4.925;6.5257;-5.4157;0.372;0.1986;0.2906;0.7053;0.1326;-0.2915;0.0;23.05;-40.67;7.54;148.87;-41.99;-137.3;5.0;37.312;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;3507;2018-08-07 23:01:13:468
3.4576;5.0433;-3.5237;4.1523;7.766;-4.3148;-1.0702;-3.0062;0.8595;-0.9448;1.2948;-0.0444;0.0;28.23;-38.93;3.97;144.88;-49.45;-139.24;5.0;69.301;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;4007;2018-08-07 23:01:13:968
6.0434;4.9882;4.8345;6.9905;4.7905;4.9349;-0.6076;0.2094;-0.485;-0.0777;0.5587;-0.1328;5.0604;6.31;-48.32;1.25;183.32;-29.17;-55.35;5.0;71.768;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;4507;2018-08-07 23:01:14:468
6.3594;3.4416;8.488;5.6814;3.5216;7.1757;0.6757;-0.2015;0.3767;-0.7712;1.0817;0.1846;5.0604;3.44;-46.02;-4.05;186.32;-22.29;-40.01;5.0;40.179;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;5008;2018-08-07 23:01:14:969
4.4153;1.8925;9.4696;3.5167;1.9091;8.9531;1.1568;0.0342;0.2947;-0.2961;-0.0336;-0.1978;5.0604;11.41;-46.98;-13.07;197.75;-11.67;-21.31;5.0;36.625;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;5509;2018-08-07 23:01:15:470
4.1544;1.9859;8.2342;4.1382;2.2464;8.6023;0.0088;-0.1709;-0.6244;-0.0404;0.1124;-0.1914;6.7472;11.18;-44.77;-13.81;200.84;-13.21;-25.81;0.0;32.243;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;6007;2018-08-07 23:01:15:968
5.1025;2.8454;8.0427;4.9746;2.7579;7.9886;0.1527;0.0482;-0.2203;0.1566;-0.3383;0.2539;5.0604;9.4;-43.88;-11.91;200.49;-16.56;-31.3;0.0;34.355;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;6507;2018-08-07 23:01:16:468
6.4241;3.2428;6.1178;6.9265;3.2381;6.1407;-0.8379;0.0582;-0.232;0.9396;-1.1468;0.2816;5.0604;5.13;-46.63;-10.89;194.82;-18.81;-46.81;0.0;35.454;12.927543;77.677414;;882.2957764;;699.999;;0 / 0;7008;2018-08-07 23:01:16:969
9.0313;4.6961;0.6422;9.0465;3.7374;0.6026;0.8365;0.9902;-0.5373;0.7809;-0.0826;-0.7113;6.7472;-1.95;-46.7;12.96;162.62;-21.26;-85.46;5.0;34.417;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;7507;2018-08-07 23:01:17:468
6.9221;5.5509;-4.6586;6.1771;5.8014;-4.9353;0.4685;-0.4597;0.6546;-0.2269;-1.2278;0.1175;3.3736;21.99;-38.48;18.27;140.86;-36.27;-128.62;5.0;33.609;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;8008;2018-08-07 23:01:17:969
5.7393;4.7416;-7.5029;6.0571;4.5771;-6.2074;-0.3645;0.0607;-1.134;0.3186;-0.7644;0.1282;0.0;15.9;-42.13;13.57;153.11;-28.54;-135.32;0.0;35.712;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;8507;2018-08-07 23:01:18:468
3.2996;5.2779;-7.0168;3.5586;4.5733;-7.9115;0.1322;-0.2247;0.6332;-0.1928;-0.8592;-0.8689;0.0;27.32;-34.86;14.87;134.02;-27.8;-155.78;0.0;48.28;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;9007;2018-08-07 23:01:18:968
3.3619;5.0576;-8.1996;2.4821;5.147;-7.9699;1.2114;-0.1111;-0.3611;0.2919;-0.3542;0.0749;0.0;31.75;-34.65;11.6;127.56;-32.26;-162.33;0.0;63.863;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;9508;2018-08-07 23:01:19:469
1.0874;4.8254;-6.4111;0.8931;6.6501;-7.1519;0.3638;-2.366;0.401;-1.6138;-1.3577;-0.4652;0.0;34.16;-34.06;2.26;127.94;-42.7;-172.88;0.0;48.83;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;10007;2018-08-07 23:01:19:968
-0.8854;10.3249;-3.5357;-0.9418;9.5181;-2.1654;0.0063;0.7332;-1.3656;-0.1352;0.2072;0.3615;0.0;31.95;-26.48;-26.58;111.64;-75.67;154.37;0.0;34.738;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;10508;2018-08-07 23:01:20:469
-0.4952;9.6904;-0.6914;-0.7335;9.7066;-1.1893;0.6118;-0.1102;0.1921;-0.5294;-0.0453;-7.0E-4;0.0;31.58;-26.96;-30.51;107.04;-81.81;148.34;0.0;34.807;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;11007;2018-08-07 23:01:20:968
1.2957;9.3241;-0.8709;0.2789;9.7482;-1.0316;0.9773;-0.3607;0.3045;-0.0127;0.1645;0.0334;0.0;33.91;-30.53;-29.23;146.4;-83.91;-166.9;0.0;33.492;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;11507;2018-08-07 23:01:21:468
0.3476;9.032;-0.3179;-0.8332;9.7514;0.6211;1.0897;-0.7174;-0.9188;-0.1225;-0.2722;0.24;0.0;38.29;-22.13;-30.65;4.6;-83.8;55.14;5.0;50.385;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;12008;2018-08-07 23:01:21:969
-0.8974;9.53;1.8752;0.9766;9.6596;1.3815;-1.5772;-0.0955;0.3631;-0.0117;-0.742;-0.1605;0.0;36.39;-28.8;-32.41;269.24;-79.51;-35.47;5.0;33.066;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;12507;2018-08-07 23:01:22:468
-1.5271;9.961;3.8049;-0.5186;9.5961;1.9534;-0.3134;0.4548;2.384;-0.3004;0.0548;0.3615;0.0;32.34;-20.66;-44.18;338.09;-78.37;16.2;5.0;41.324;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;13007;2018-08-07 23:01:22:968
-0.0738;9.2116;1.9638;-0.2724;9.6124;1.9231;0.5287;-0.2747;0.0113;-0.0063;0.0207;-0.0859;0.0;31.47;-19.84;-44.91;331.91;-78.57;7.6;5.0;41.974;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;13507;2018-08-07 23:01:23:468
-0.4473;9.1086;2.7371;-0.3757;9.4713;2.5147;-0.0169;-0.2825;0.1256;-0.213;-0.0038;-0.0231;0.0;32.32;-16.76;-47.55;331.98;-75.15;8.52;5.0;33.51;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;14007;2018-08-07 23:01:23:968
-0.3443;8.6298;2.7323;-0.1138;9.3144;3.0657;-0.6117;-0.6139;-0.4341;0.3058;-1.2437;0.3434;0.0;37.18;-18.53;-40.75;318.38;-71.43;5.57;0.0;42.183;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;14508;2018-08-07 23:01:24:469
0.6205;10.3824;2.0428;-2.2907;9.5091;0.7073;2.3534;0.9119;1.4302;0.2099;-0.4363;-0.5674;3.3736;-5.4;-30.67;-49.73;87.29;-75.99;72.65;0.0;33.436;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;15007;2018-08-07 23:01:24:968
-1.3882;9.2666;1.3916;-1.6117;9.6051;1.1467;0.1379;-0.1765;0.2781;-0.1448;-0.1124;0.0739;5.0604;-9.89;-30.46;-53.25;72.63;-78.43;55.89;0.0;49.108;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;15507;2018-08-07 23:01:25:468
5.0713;13.2506;1.3892;1.7974;8.9778;3.5125;3.6938;4.1046;-2.5339;-0.4644;-1.574;1.0613;16.868;-15.13;-14.63;-54.1;349.59;-67.04;-24.04;0.0;47.45;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;16007;2018-08-07 23:01:25:968
2.6173;9.3337;3.5679;-4.4253;8.7377;-0.489;8.7206;0.558;4.1873;-0.0607;-0.1423;0.3391;5.0604;34.69;-36.85;-48.57;85.37;-62.44;95.21;0.0;46.38;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;16507;2018-08-07 23:01:26:468
-1.8216;9.3457;1.4347;-1.3058;9.675;0.9269;-0.5706;-0.197;0.4586;-0.1597;-0.0016;0.1431;6.7472;24.15;-41.98;-51.82;35.19;-80.61;55.63;0.0;51.271;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;17008;2018-08-07 23:01:26:969
-0.1432;6.6426;0.4411;3.7413;9.0348;0.7385;-6.1272;-2.4013;1.017;-0.0649;2.0341;-0.4119;6.7472;15.73;-32.45;-34.88;238.83;-66.08;-83.87;5.0;39.609;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;17507;2018-08-07 23:01:27:468
26.9448;13.2219;7.8224;-1.8021;9.6177;0.65;24.647;5.1334;10.407;-1.5467;1.0327;1.8624;3.3736;3.63;26.54;-10.35;36.73;-76.99;77.74;0.0;49.354;12.931748;77.68445;;882.2957764;;20.4;;0 / 0;18007;2018-08-07 23:01:27:968
